Patente;Latitud;Longitud;Tiempogps;Ruta;Velocidad;Ignición
BJFF-26;-33.3796234;-70.6341782;201709120005.44;T2TS 00I;0.0;SI
BFKB-51;-33.3883018;-70.6206589;201709120005.44;BTS 00I;0.0;SI
CJRS-27;-33.3879585;-70.6221313;201709120005.45;BTS 00I;0.0;SI
CJRX-27;-33.3807259;-70.5804443;201709120005.45;BTS 00I;59.82;SI
MZ-9900;-33.3883247;-70.6206818;201709120005.45;BTS 00I;0.0;SI
MX-4326;-33.3885498;-70.6204147;201709120005.45;B22 00R;0.0;SI
WB-1022;-33.3796539;-70.6340714;201709120005.45;;0.0;SI
CJRC-67;-33.3755302;-70.6473618;201709120005.46;B01 00I;0.0;SI
CJRR-18;-33.40765;-70.5451508;201709120005.47;B53 00I;0.0;SI
MY-8862;-33.3876648;-70.6218567;201709120005.47;BTS 00I;0.0;SI
BDXS-72;-33.3868904;-70.6010742;201709120005.47;BTS 00I;0.0;SI
CJRR-23;-33.3876381;-70.6219177;201709120005.48;BTS 00I;0.0;SI
WA-8050;-33.3793907;-70.6349869;201709120005.48;T206 E0 00R;0.0;SI
BJFF-74;-33.3798599;-70.6335449;201709120005.48;T2TS 00I;10.93;SI
FZJS-98;-33.3941994;-70.6241074;201709120005.48;BTS 00I;37.97;SI
CJRR-87;-33.3875542;-70.6220703;201709120005.49;BTS 00I;0.0;SI
CJRG-97;-33.3809586;-70.6450882;201709120005.49;BTS 00I;20.93;SI
CJRB-89;-33.394825;-70.7600327;201709120005.49;BTS 00I;0.0;SI
CJRS-10;-33.3939552;-70.6246033;201709120005.51;BTS 00I;17.96;SI
FZJL-65;-33.3875542;-70.622551;201709120005.51;BTS 00I;0.0;SI
FLXS-41;-33.4038773;-70.6261826;201709120005.51;F94 00I;41.86;SI
WB-1047;-33.3795776;-70.6374435;201709120005.51;T208 00R;0.0;SI
FLXR-95;-33.3877144;-70.6217422;201709120005.51;BTS 00I;0.0;SI
BFKB-29;-33.3883057;-70.6221085;201709120005.51;BTS 00I;0.0;SI
ZN-6024;-33.3803215;-70.6366272;201709120005.52;T101 00I;0.0;SI
MY-3919;-33.3913383;-70.6216812;201709120005.52;B57 00R;0.0;SI
ZN-6599;-33.3800735;-70.6337128;201709120005.52;T2TS 00I;0.0;SI
ZN-6318;-33.3799019;-70.6357727;201709120005.52;T219 E0 00R;16.85;SI
BJFG-48;-33.3884201;-70.6207733;201709120005.53;BTS 00I;0.0;SI
ZN-6009;-33.4033165;-70.7318192;201709120005.53;T120 00R;0.0;SI
FLXS-42;-33.4057121;-70.6237946;201709120005.53;F94 00R;0.0;SI
MX-4324;-33.3883171;-70.6221695;201709120005.53;BTS 00I;0.0;SI
FLXS-58;-33.4052849;-70.6240616;201709120005.53;F52 00I;0.0;SI
CJRC-89;-33.3942566;-70.7593765;201709120005.53;B03 00R;0.0;SI
FLXB-59;-33.3755417;-70.647049;201709120005.54;BTS 00I;0.0;SI
CJRS-54;-33.409874;-70.5714951;201709120005.54;T406 00R;17.96;SI
ZB-6717;-33.3801994;-70.6377335;201709120005.55;T101 00I;0.0;SI
FLXS-61;-33.4051781;-70.6241226;201709120005.55;F94 00I;0.0;SI
CJRH-88;-33.3791351;-70.5388718;201709120005.55;T405 00R;28.89;SI
BBZV-77;-33.388485;-70.6204605;201709120005.55;BTS 00I;0.0;SI
CJRY-14;-33.3876877;-70.6218796;201709120005.55;BTS 00I;0.0;SI
BJFG-46;-33.3886604;-70.6221161;201709120005.55;BTS 00I;0.0;SI
CRBJ-36;-33.3881378;-70.6223831;201709120005.56;BTS 00I;0.0;SI
FLXR-96;-33.4077682;-70.5633011;201709120005.56;B52 00I;59.82;SI
ZB-6988;-33.4035034;-70.7314148;201709120005.56;T101 C0 00R;0.0;SI
WA-8073;-33.3803062;-70.6333618;201709120005.57;T208 00R;0.0;SI
CJRY-23;-33.3886871;-70.6220627;201709120005.57;BTS 00I;0.0;SI
FLXC-26;-33.4089966;-70.568367;201709120005.57;T426 00R;54.82;SI
CJRK-65;-33.389473;-70.6220093;201709120005.58;BTS 00I;0.0;SI
CJRB-84;-33.3833046;-70.6401749;201709120005.58;B05 00I;10.93;SI
FLXB-52;-33.3802986;-70.6470718;201709120005.58;B27 00R;0.0;SI
BFKB-46;-33.379158;-70.6370697;201709120005.58;T2TS 00I;0.0;SI
CJRK-45;-33.4045715;-70.5861053;201709120005.58;BTS 00I;74.82;SI
CJJW-60;-33.3874435;-70.6221237;201709120005.58;BTS 00I;0.0;SI
CJRJ-50;-33.4014168;-70.5934906;201709120005.59;T405 00R;10.93;SI
ZN-3994;-33.4028778;-70.7319717;201709120005.59;T1TS 00I;0.0;SI
ZU-6511;-33.4033813;-70.7317886;201709120005.59;T110 00R;0.0;SI
CJRY-29;-33.3885307;-70.6205139;201709120005.59;BTS 00I;0.0;SI
ZU-6001;-33.3802299;-70.6339645;201709120005.59;T208 00R;0.0;SI
CRYL-60;-33.3837738;-70.5345917;201709120005.59;B51 00R;25.93;SI
FZJL-67;-33.4000549;-70.5103455;201709120005.59;B52 00R;10.93;SI
CJRK-35;-33.3879585;-70.6216888;201709120005.59;BTS 00I;0.0;SI
ZN-6220;-33.4035034;-70.7311096;201709120006.0;T120 00I;0.0;SI
MZ-8072;-33.3879585;-70.6227341;201709120006.0;BTS 00I;0.0;SI
CRXW-96;-33.3885422;-70.6218643;201709120006.0;BTS 00I;0.0;SI
FZJL-71;-33.3899651;-70.5984802;201709120006.0;BTS 00I;29.82;SI
CJRC-99;-33.3907051;-70.7647629;201709120006.0;BTS 00I;9.82;SI
CJRR-86;-33.3885117;-70.6224747;201709120006.01;BTS 00I;0.0;SI
BDWL-40;-33.3798904;-70.6350174;201709120006.01;T225 00I;0.0;SI
BFKB-44;-33.3798943;-70.6342087;201709120006.02;T2TS 00I;0.0;SI
CRCB-14;-33.3875847;-70.6218872;201709120006.02;B14 00R;0.0;SI
MZ-9824;-33.3875046;-70.6220169;201709120006.02;BTS 00I;0.0;SI
FZJL-70;-33.3875465;-70.6218414;201709120006.02;BTS 00I;0.0;SI
MZ-9906;-33.4046631;-70.601265;201709120006.03;B53 00R;35.93;SI
CJRT-71;-33.4104233;-70.5864487;201709120006.03;BTS 00I;0.0;SI
FZJL-54;-33.387928;-70.6222229;201709120006.03;BTS 00I;0.0;SI
FLXB-68;-33.3802605;-70.6471634;201709120006.03;BTS 00I;0.0;SI
BJFG-20;-33.3883324;-70.6200714;201709120006.03;BTS 00I;0.0;SI
CJRR-10;-33.3876686;-70.6226349;201709120006.04;BTS 00I;0.0;SI
BFKB-37;-33.3800049;-70.6331787;201709120006.05;T2TS 00I;0.0;SI
CJRK-81;-33.3875809;-70.6220169;201709120006.05;BTS 00I;0.0;SI
BJFV-65;-33.3800888;-70.6369324;201709120006.05;T107 00R;0.0;SI
FLXS-50;-33.4056435;-70.6236877;201709120006.05;F52 00I;0.0;SI
FLXJ-80;-33.3946495;-70.5250702;201709120006.05;T421 00R;60.93;SI
CJRK-68;-33.3874817;-70.6219711;201709120006.05;BTS 00I;0.0;SI
ZN-5557;-33.3799019;-70.6337814;201709120006.05;T216 00I;0.0;SI
ZN-6282;-33.3793678;-70.637146;201709120006.06;T2TS 00I;0.0;SI
ZN-6275;-33.3796196;-70.634407;201709120006.06;T2TS 00I;0.0;SI
CRXZ-75;-33.3877144;-70.6221695;201709120006.06;BTS 00I;0.0;SI
BJFG-57;-33.3885498;-70.6223831;201709120006.06;BTS 00I;0.0;SI
MZ-9827;-33.3884087;-70.6205902;201709120006.06;BTS 00I;0.0;SI
MZ-9907;-33.3874741;-70.622139;201709120006.06;BTS 00I;0.0;SI
CJRT-41;-33.3994331;-70.5707703;201709120006.06;B71 00I;52.97;SI
BJFF-13;-33.3796844;-70.6341019;201709120006.07;T208 00R;0.0;SI
CJRF-83;-33.3756218;-70.6470184;201709120006.07;BTS 00I;0.0;SI
CJRC-36;-33.3755264;-70.6477203;201709120006.07;B02 00R;0.0;SI
CJRR-74;-33.3880081;-70.6220932;201709120006.07;BTS 00I;0.0;SI
WA-8084;-33.3794899;-70.6353912;201709120006.07;T2TS 00I;0.0;SI
MY-8859;-33.3885117;-70.6222534;201709120006.08;BTS 00I;0.0;SI
WA-8081;-33.379982;-70.6332703;201709120006.08;T2TS 00I;0.0;SI
BJFG-15;-33.3885803;-70.6223679;201709120006.08;BTS 00I;0.0;SI
FLXT-89;-33.3963013;-70.5045013;201709120006.08;B52 00I;0.0;SI
FLXJ-70;-33.4083939;-70.5520782;201709120006.08;T401 00R;17.96;SI
FLXS-40;-33.4044609;-70.6255417;201709120006.08;F94 00I;31.85;SI
FLXH-51;-33.399498;-70.5071564;201709120006.08;T421 00R;0.0;SI
MY-3920;-33.3878212;-70.6217194;201709120006.09;BTS 00I;0.0;SI
ZN-6530;-33.3801308;-70.6365356;201709120006.09;T104 00R;0.0;SI
CJRC-97;-33.3909874;-70.7652054;201709120006.09;BTS 00I;39.82;SI
MY-3914;-33.3868904;-70.6010437;201709120006.09;B57 00R;0.0;SI
BDWL-44;-33.3798523;-70.6365128;201709120006.09;T225 00I;0.0;SI
CJRV-45;-33.3987732;-70.6044769;201709120006.09;T4TS 00I;75.93;SI
ZN-6326;-33.3796082;-70.6365051;201709120006.1;T2TS 00I;0.0;SI
CJRD-15;-33.3936768;-70.7684097;201709120006.1;B12 00R;32.97;SI
BDWL-39;-33.3800774;-70.6351624;201709120006.1;T2TS 00I;0.0;SI
ZN-5758;-33.4033318;-70.7318573;201709120006.1;T128 00R;0.0;SI
CJRF-41;-33.3754387;-70.6473389;201709120006.11;B02 00I;0.0;SI
CJRX-12;-33.3983231;-70.5513763;201709120006.12;T406 00I;22.97;SI
CJRJ-81;-33.3803787;-70.542305;201709120006.12;T405 00R;40.93;SI
CJRC-69;-33.3928719;-70.7674789;201709120006.12;BTS 00I;52.97;SI
WC-2772;-33.3802452;-70.6329956;201709120006.12;T2TS 00I;0.0;SI
FLXB-32;-33.3756599;-70.6473999;201709120006.13;BTS 00I;0.0;SI
CJRK-71;-33.3878365;-70.6226501;201709120006.13;BTS 00I;0.0;SI
BJFG-27;-33.3885918;-70.6222687;201709120006.13;BTS 00I;0.0;SI
CJRY-16;-33.3875771;-70.6220093;201709120006.13;BTS 00I;0.0;SI
MY-3918;-33.3870468;-70.6009979;201709120006.14;B57 00R;0.0;SI
CJRT-42;-33.3875084;-70.6222382;201709120006.14;BTS 00I;0.0;SI
CJRJ-59;-33.3822594;-70.5473862;201709120006.14;T405 00R;47.97;SI
BJFF-26;-33.3796234;-70.6341782;201709120006.14;T2TS 00I;0.0;SI
BFKB-51;-33.3883018;-70.6206589;201709120006.14;BTS 00I;0.0;SI
MX-4326;-33.3885498;-70.6204147;201709120006.15;B22 00R;0.0;SI
MZ-9900;-33.3883247;-70.6206818;201709120006.15;BTS 00I;0.0;SI
WB-1022;-33.3796539;-70.6340714;201709120006.15;;0.0;SI
CJRF-38;-33.3764114;-70.6517105;201709120006.15;BTS 00I;20.93;SI
CJRS-27;-33.3879585;-70.6221313;201709120006.15;BTS 00I;0.0;SI
CJRX-27;-33.3814964;-70.5857697;201709120006.15;BTS 00I;59.82;SI
CJRC-67;-33.3755302;-70.6473618;201709120006.16;B01 00I;0.0;SI
CJRR-18;-33.4087143;-70.5449524;201709120006.17;B53 00I;18.89;SI
MY-8862;-33.3876648;-70.6218567;201709120006.17;BTS 00I;0.0;SI
BDXS-72;-33.3868904;-70.6010742;201709120006.17;BTS 00I;0.0;SI
BJFF-74;-33.3798676;-70.6331863;201709120006.18;T2TS 00I;6.85;SI
WA-8050;-33.3793907;-70.6349869;201709120006.18;T206 E0 00R;0.0;SI
FZJS-98;-33.3926773;-70.6242752;201709120006.18;BTS 00I;47.97;SI
CJRR-23;-33.3876381;-70.6219177;201709120006.18;BTS 00I;0.0;SI
CJRG-97;-33.3821335;-70.642662;201709120006.19;BTS 00I;48.89;SI
CJRR-87;-33.3875542;-70.6220703;201709120006.19;BTS 00I;0.0;SI
CJRB-89;-33.394825;-70.7600327;201709120006.19;BTS 00I;0.0;SI
CJRS-10;-33.3918114;-70.6240234;201709120006.21;BTS 00I;63.89;SI
FLXR-95;-33.3877144;-70.6217422;201709120006.21;BTS 00I;0.0;SI
FZJL-65;-33.3874588;-70.6225052;201709120006.21;BTS 00I;0.0;SI
WB-1047;-33.3795776;-70.6374435;201709120006.21;T208 00R;0.0;SI
FLXS-41;-33.4052505;-70.6243668;201709120006.21;F94 00I;0.0;SI
ZN-6599;-33.3800735;-70.6337128;201709120006.22;T2TS 00I;0.0;SI
MY-3919;-33.3913383;-70.6216812;201709120006.22;B57 00R;0.0;SI
BFKB-29;-33.3883057;-70.6221085;201709120006.22;BTS 00I;0.0;SI
ZN-6024;-33.3803215;-70.6366272;201709120006.22;T101 00I;0.0;SI
CJRC-89;-33.3942566;-70.7593765;201709120006.23;B03 00R;0.0;SI
BJFG-48;-33.3884201;-70.6207733;201709120006.23;BTS 00I;0.0;SI
MX-4324;-33.3883171;-70.6221695;201709120006.23;BTS 00I;0.0;SI
FLXS-58;-33.4052849;-70.6240616;201709120006.23;F52 00I;0.0;SI
ZN-6009;-33.4033165;-70.7318192;201709120006.23;T120 00R;0.0;SI
FLXS-42;-33.4057121;-70.6237946;201709120006.23;F94 00R;0.0;SI
FLXB-59;-33.375618;-70.6470718;201709120006.24;BTS 00I;0.0;SI
CJRS-54;-33.4099007;-70.571579;201709120006.24;T406 00R;4.82;SI
CJRY-14;-33.388752;-70.6218338;201709120006.25;BTS 00I;6.85;SI
BBZV-77;-33.388485;-70.6204605;201709120006.25;BTS 00I;0.0;SI
ZB-6717;-33.3801994;-70.6377335;201709120006.25;T101 00I;0.0;SI
BJFG-46;-33.3886604;-70.6221161;201709120006.25;BTS 00I;0.0;SI
CJRH-88;-33.3802872;-70.54216;201709120006.25;T405 00R;43.89;SI
CRBJ-36;-33.3881378;-70.6223831;201709120006.26;BTS 00I;0.0;SI
ZB-6988;-33.4035034;-70.7314148;201709120006.26;T101 C0 00R;0.0;SI
FLXR-96;-33.4084702;-70.5662766;201709120006.26;B52 00I;0.0;SI
WA-8073;-33.3803062;-70.6333618;201709120006.27;T208 00R;0.0;SI
FLXC-26;-33.4094429;-70.5700531;201709120006.27;T426 00R;0.0;SI
CJRY-23;-33.3886871;-70.6220627;201709120006.27;BTS 00I;0.0;SI
FLXB-52;-33.3802986;-70.6470718;201709120006.28;B27 00R;0.0;SI
CJRK-45;-33.3992996;-70.5874939;201709120006.28;BTS 00I;36.86;SI
CJRB-84;-33.38237;-70.6400986;201709120006.28;B05 00I;30.93;SI
ZU-6001;-33.3802299;-70.6339645;201709120006.28;T208 00R;0.0;SI
BFKB-46;-33.379158;-70.6370697;201709120006.28;T2TS 00I;0.0;SI
CJJW-60;-33.3874435;-70.6221237;201709120006.28;BTS 00I;0.0;SI
ZN-3994;-33.4028778;-70.7319717;201709120006.29;T1TS 00I;0.0;SI
CJRJ-50;-33.4024696;-70.594635;201709120006.29;T405 00R;42.97;SI
ZU-6511;-33.4033813;-70.7317886;201709120006.29;T110 00R;0.0;SI
CRYL-60;-33.3851585;-70.5373993;201709120006.29;B51 00R;39.82;SI
CJRY-29;-33.3885307;-70.6205139;201709120006.29;BTS 00I;0.0;SI
FZJL-67;-33.401432;-70.5102005;201709120006.29;B52 00R;0.0;SI
CJRK-35;-33.3879585;-70.6216888;201709120006.29;BTS 00I;0.0;SI
CJRC-99;-33.3912582;-70.7638168;201709120006.3;BTS 00I;12.96;SI
CRXW-96;-33.3885422;-70.6218643;201709120006.3;BTS 00I;0.0;SI
MZ-8072;-33.3879585;-70.6227341;201709120006.3;BTS 00I;0.0;SI
ZN-6220;-33.4035034;-70.7311096;201709120006.3;T120 00I;0.0;SI
FZJL-71;-33.3892746;-70.6014328;201709120006.3;BTS 00I;35.93;SI
CJRR-86;-33.3885117;-70.6224747;201709120006.31;BTS 00I;0.0;SI
BDWL-40;-33.3798904;-70.6350174;201709120006.31;T225 00I;0.0;SI
FZJL-70;-33.3875465;-70.6218414;201709120006.32;BTS 00I;0.0;SI
CRCB-14;-33.3875847;-70.6218872;201709120006.32;B14 00R;0.0;SI
BFKB-44;-33.3798943;-70.6342087;201709120006.32;T2TS 00I;0.0;SI
MZ-9824;-33.3875046;-70.6220169;201709120006.32;BTS 00I;0.0;SI
BJFG-20;-33.3883324;-70.6200714;201709120006.33;BTS 00I;0.0;SI
MZ-9906;-33.4019051;-70.6013947;201709120006.33;B53 00R;37.97;SI
FLXB-68;-33.3802605;-70.6471634;201709120006.33;BTS 00I;0.0;SI
CJRT-71;-33.4074402;-70.5870056;201709120006.33;BTS 00I;51.86;SI
FZJL-54;-33.387928;-70.6222229;201709120006.33;BTS 00I;0.0;SI
CJRR-10;-33.3876076;-70.622612;201709120006.34;BTS 00I;10.93;SI
FLXS-50;-33.4056435;-70.6236877;201709120006.35;F52 00I;0.0;SI
ZN-5557;-33.3795128;-70.6341324;201709120006.35;T216 00I;5.93;SI
FLXJ-80;-33.3942642;-70.5300751;201709120006.35;T421 00R;43.89;SI
BJFV-65;-33.3800888;-70.6369324;201709120006.35;T107 00R;0.0;SI
CJRK-68;-33.3874817;-70.6219711;201709120006.35;BTS 00I;0.0;SI
CJRK-81;-33.3876266;-70.6218872;201709120006.35;BTS 00I;0.0;SI
BFKB-37;-33.3800049;-70.6331787;201709120006.35;T2TS 00I;0.0;SI
CRXZ-75;-33.3877144;-70.6221695;201709120006.36;BTS 00I;0.0;SI
ZN-6275;-33.3796196;-70.634407;201709120006.36;T2TS 00I;0.0;SI
CJRF-83;-33.3756218;-70.6470184;201709120006.36;BTS 00I;0.0;SI
MZ-9827;-33.3884087;-70.6205902;201709120006.36;BTS 00I;0.0;SI
MZ-9907;-33.3874741;-70.622139;201709120006.36;BTS 00I;0.0;SI
CJRT-41;-33.4010887;-70.5727615;201709120006.36;B71 00I;54.82;SI
BJFG-57;-33.3885498;-70.6223831;201709120006.36;BTS 00I;0.0;SI
CJRC-36;-33.3755264;-70.6477203;201709120006.37;B02 00R;0.0;SI
WA-8084;-33.3794899;-70.6353912;201709120006.37;T2TS 00I;0.0;SI
BJFF-13;-33.3796844;-70.6341019;201709120006.37;T208 00R;0.0;SI
CJRR-74;-33.3880081;-70.6220932;201709120006.38;BTS 00I;0.0;SI
WA-8081;-33.379982;-70.6332703;201709120006.38;T2TS 00I;0.0;SI
FLXJ-70;-33.4080887;-70.5549469;201709120006.38;T401 00R;35.93;SI
BJFG-15;-33.3885803;-70.6223679;201709120006.38;BTS 00I;0.0;SI
FLXT-89;-33.3963013;-70.5045013;201709120006.38;B52 00I;0.0;SI
FLXH-51;-33.3994904;-70.5069962;201709120006.38;T421 00R;0.0;SI
MY-8859;-33.3885117;-70.6222534;201709120006.38;BTS 00I;0.0;SI
FLXS-40;-33.4052849;-70.6244354;201709120006.38;F94 00I;0.0;SI
MY-3920;-33.3878212;-70.6217194;201709120006.39;BTS 00I;0.0;SI
ZN-6530;-33.3801308;-70.6365356;201709120006.39;T104 00R;0.0;SI
BDWL-44;-33.3798523;-70.6365128;201709120006.39;T225 00I;0.0;SI
CJRC-97;-33.391346;-70.7637329;201709120006.39;BTS 00I;11.85;SI
MY-3914;-33.3868904;-70.6010437;201709120006.39;B57 00R;0.0;SI
CJRV-45;-33.4043198;-70.6043854;201709120006.39;T4TS 00I;72.97;SI
BDWL-39;-33.3800774;-70.6351624;201709120006.4;T2TS 00I;0.0;SI
ZN-6326;-33.3796082;-70.6365051;201709120006.4;T2TS 00I;0.0;SI
CJRD-15;-33.3911552;-70.7653961;201709120006.4;B12 00R;44.82;SI
ZN-5758;-33.4033318;-70.7318573;201709120006.4;T128 00R;0.0;SI
CJRF-41;-33.3754387;-70.6473389;201709120006.41;B02 00I;0.0;SI
CJRJ-81;-33.3815384;-70.5454102;201709120006.42;T405 00R;49.82;SI
WC-2772;-33.3802452;-70.6329956;201709120006.42;T2TS 00I;0.0;SI
CJRC-69;-33.3907394;-70.7648315;201709120006.42;BTS 00I;14.82;SI
CJRX-12;-33.3957596;-70.5489502;201709120006.42;T406 00I;47.97;SI
CJRY-16;-33.3875771;-70.6220093;201709120006.43;BTS 00I;0.0;SI
FLXB-32;-33.3756599;-70.6473999;201709120006.43;BTS 00I;0.0;SI
BJFG-27;-33.3885918;-70.6222687;201709120006.43;BTS 00I;0.0;SI
CJRK-71;-33.3875885;-70.6225815;201709120006.43;BTS 00I;6.85;SI
BJFF-26;-33.3796234;-70.6341782;201709120006.44;T2TS 00I;0.0;SI
CJRT-42;-33.3875084;-70.6222382;201709120006.44;BTS 00I;0.0;SI
MY-3918;-33.3870468;-70.6009979;201709120006.44;B57 00R;0.0;SI
BFKB-51;-33.3883018;-70.6206589;201709120006.44;BTS 00I;0.0;SI
CJRJ-59;-33.3843384;-70.5529327;201709120006.44;T405 00R;16.85;SI
MZ-9900;-33.3883247;-70.6206818;201709120006.45;BTS 00I;0.0;SI
CJRS-27;-33.3879585;-70.6221313;201709120006.45;BTS 00I;0.0;SI
MX-4326;-33.3885498;-70.6204147;201709120006.45;B22 00R;0.0;SI
CJRX-27;-33.383049;-70.5907288;201709120006.45;BTS 00I;59.82;SI
CJRS-34;-33.4106178;-70.573616;201709120006.45;T426 00I;62.97;SI
CJRF-38;-33.377697;-70.6523819;201709120006.45;BTS 00I;3.89;SI
WB-1022;-33.3796539;-70.6340714;201709120006.45;;0.0;SI
CJRC-67;-33.3755302;-70.6473618;201709120006.46;B01 00I;0.0;SI
CJRR-18;-33.4100571;-70.5420227;201709120006.47;B53 00I;44.82;SI
BDXS-72;-33.3868904;-70.6010742;201709120006.47;BTS 00I;0.0;SI
MY-8862;-33.3876648;-70.6218567;201709120006.47;BTS 00I;0.0;SI
WA-8050;-33.3793907;-70.6349869;201709120006.48;T206 E0 00R;0.0;SI
CJRR-23;-33.3876381;-70.6219177;201709120006.48;BTS 00I;0.0;SI
BJFF-74;-33.3796616;-70.6352997;201709120006.48;T2TS 00I;10.93;SI
FZJS-98;-33.3889008;-70.6230698;201709120006.48;BTS 00I;37.97;SI
CJRB-89;-33.394825;-70.7600327;201709120006.49;BTS 00I;0.0;SI
CJRG-97;-33.3834801;-70.6403503;201709120006.49;BTS 00I;15.93;SI
CJRR-87;-33.3875542;-70.6220703;201709120006.49;BTS 00I;0.0;SI
WB-1047;-33.3795776;-70.6374435;201709120006.51;T208 00R;0.0;SI
CJRS-10;-33.3882713;-70.6228027;201709120006.51;BTS 00I;24.82;SI
FZJL-65;-33.387455;-70.6222687;201709120006.51;BTS 00I;0.0;SI
FLXR-95;-33.3877144;-70.6217422;201709120006.51;BTS 00I;0.0;SI
FLXS-41;-33.4052505;-70.6243668;201709120006.51;F94 00I;0.0;SI
BFKB-29;-33.3883057;-70.6221085;201709120006.52;BTS 00I;0.0;SI
ZN-6024;-33.3803215;-70.6366272;201709120006.52;T101 00I;0.0;SI
MY-3919;-33.3913383;-70.6216812;201709120006.52;B57 00R;0.0;SI
ZN-6599;-33.3800735;-70.6337128;201709120006.52;T2TS 00I;0.0;SI
ZN-6009;-33.4033165;-70.7318192;201709120006.53;T120 00R;0.0;SI
CJRC-89;-33.3942566;-70.7593765;201709120006.53;B03 00R;0.0;SI
MX-4324;-33.3883171;-70.6221695;201709120006.53;BTS 00I;0.0;SI
FLXS-42;-33.4057121;-70.6237946;201709120006.53;F94 00R;0.0;SI
BJFG-48;-33.3884201;-70.6207733;201709120006.53;BTS 00I;0.0;SI
FLXS-58;-33.4052849;-70.6240616;201709120006.53;F52 00I;0.0;SI
FLXB-59;-33.3753586;-70.6476288;201709120006.54;BTS 00I;0.0;SI
CJRS-54;-33.4099503;-70.5717468;201709120006.54;T406 00R;0.0;SI
BBZV-77;-33.388485;-70.6204605;201709120006.55;BTS 00I;0.0;SI
BJFG-46;-33.3886604;-70.6221161;201709120006.55;BTS 00I;0.0;SI
CJRH-88;-33.3817787;-70.5460739;201709120006.55;T405 00R;48.89;SI
ZB-6717;-33.3801994;-70.6377335;201709120006.55;T101 00I;0.0;SI
CJRY-14;-33.3882866;-70.6209259;201709120006.55;BTS 00I;10.93;SI
CRBJ-36;-33.3881378;-70.6223831;201709120006.56;BTS 00I;0.0;SI
ZB-6988;-33.4035034;-70.7314148;201709120006.56;T101 C0 00R;0.0;SI
FLXR-96;-33.4091034;-70.5686646;201709120006.56;B52 00I;59.82;SI
FLXC-26;-33.4095078;-70.5703049;201709120006.57;T426 00R;0.0;SI
WA-8073;-33.3803062;-70.6333618;201709120006.57;T208 00R;0.0;SI
CJRY-23;-33.3886871;-70.6220627;201709120006.57;BTS 00I;0.0;SI
ZU-6001;-33.3802299;-70.6339645;201709120006.58;T208 00R;0.0;SI
CJRB-84;-33.3803978;-70.6391068;201709120006.58;B05 00I;14.82;SI
BFKB-46;-33.379158;-70.6370697;201709120006.58;T2TS 00I;0.0;SI
CJJW-60;-33.3874435;-70.6221237;201709120006.58;BTS 00I;0.0;SI
FLXB-52;-33.3802986;-70.6470718;201709120006.58;B27 00R;0.0;SI
CJRK-45;-33.3988647;-70.5875931;201709120006.58;BTS 00I;15.93;SI
ZN-3994;-33.4028778;-70.7319717;201709120006.59;T1TS 00I;0.0;SI
CJRK-35;-33.3879585;-70.6216888;201709120006.59;BTS 00I;0.0;SI
CRYL-60;-33.3879547;-70.539238;201709120006.59;B51 00R;53.89;SI
FZJL-67;-33.4015007;-70.5097885;201709120006.59;B52 00R;11.85;SI
CJRY-29;-33.3885307;-70.6205139;201709120006.59;BTS 00I;0.0;SI
CJRJ-50;-33.4037476;-70.595993;201709120006.59;T405 00R;17.96;SI
ZU-6511;-33.4033813;-70.7317886;201709120006.59;T110 00R;0.0;SI
CRXW-96;-33.3885422;-70.6218643;201709120007.0;BTS 00I;0.0;SI
CJRC-99;-33.3918152;-70.7628403;201709120007.0;BTS 00I;15.93;SI
ZN-6220;-33.4035034;-70.7311096;201709120007.0;T120 00I;0.0;SI
FZJL-71;-33.3904152;-70.6041946;201709120007.0;BTS 00I;39.82;SI
MZ-8072;-33.3876534;-70.6226196;201709120007.0;BTS 00I;10.93;SI
CJRR-86;-33.3885117;-70.6224747;201709120007.01;BTS 00I;0.0;SI
BDWL-40;-33.3798904;-70.6350174;201709120007.01;T225 00I;0.0;SI
MZ-9824;-33.3875046;-70.6220169;201709120007.02;BTS 00I;0.0;SI
FZJL-70;-33.3875465;-70.6218414;201709120007.02;BTS 00I;0.0;SI
BFKB-44;-33.3798943;-70.6342087;201709120007.02;T2TS 00I;0.0;SI
CRCB-14;-33.3875847;-70.6218872;201709120007.02;B14 00R;0.0;SI
MZ-9906;-33.4005699;-70.6011581;201709120007.03;B53 00R;0.0;SI
CJRT-71;-33.4056816;-70.5861816;201709120007.03;BTS 00I;54.82;SI
BJFG-20;-33.3883324;-70.6200714;201709120007.03;BTS 00I;0.0;SI
FZJL-54;-33.387928;-70.6222229;201709120007.03;BTS 00I;0.0;SI
FLXB-68;-33.3802605;-70.6471634;201709120007.03;BTS 00I;0.0;SI
CJRR-10;-33.3873825;-70.6223907;201709120007.04;BTS 00I;0.0;SI
CJRS-13;-33.4107399;-70.5738678;201709120007.04;B71 00R;14.82;SI
BFKB-37;-33.3800049;-70.6331787;201709120007.05;T2TS 00I;0.0;SI
BJFV-65;-33.3800888;-70.6369324;201709120007.05;T107 00R;0.0;SI
FLXJ-80;-33.3954926;-70.5312958;201709120007.05;T421 00R;42.97;SI
FLXS-50;-33.4056435;-70.6236877;201709120007.05;F52 00I;0.0;SI
CJRK-81;-33.3876266;-70.6218872;201709120007.05;BTS 00I;0.0;SI
CRXZ-75;-33.3877144;-70.6221695;201709120007.06;BTS 00I;0.0;SI
